"Date","Price","Open","High","Low","Vol.","Change %"
"11/10/2021","58,200.0","56,000.0","58,200.0","56,000.0","8.80K","1.39%"
"08/10/2021","57,400.0","56,800.0","57,400.0","55,100.0","26.00K","2.50%"
"07/10/2021","56,000.0","54,000.0","56,500.0","53,600.0","20.60K","1.08%"
"06/10/2021","55,400.0","55,800.0","55,800.0","55,000.0","7.70K","-1.07%"
"05/10/2021","56,000.0","55,400.0","56,500.0","54,500.0","11.80K","2.19%"
"04/10/2021","54,800.0","54,600.0","54,800.0","54,200.0","3.90K","-0.36%"
"01/10/2021","55,000.0","58,500.0","58,500.0","53,100.0","12.90K","-3.51%"
"30/09/2021","57,000.0","54,300.0","57,000.0","54,300.0","17.50K","5.17%"
"29/09/2021","54,200.0","54,000.0","55,600.0","54,000.0","4.40K","-1.81%"
"28/09/2021","55,200.0","54,600.0","55,300.0","53,000.0","8.00K","0.55%"
"27/09/2021","54,900.0","55,400.0","55,400.0","54,000.0","13.50K","-0.90%"
"24/09/2021","55,400.0","55,600.0","55,600.0","55,000.0","11.50K","-0.89%"
"23/09/2021","55,900.0","56,000.0","56,000.0","55,300.0","8.60K","-0.18%"
"22/09/2021","56,000.0","56,400.0","56,500.0","55,700.0","13.40K","-0.88%"
"21/09/2021","56,500.0","56,700.0","56,700.0","55,000.0","9.40K","-0.70%"
"20/09/2021","56,900.0","57,600.0","57,600.0","56,000.0","5.60K","-1.22%"
"17/09/2021","57,600.0","57,000.0","57,600.0","56,800.0","8.60K","0.00%"
"16/09/2021","57,600.0","56,500.0","57,600.0","56,500.0","8.60K","-0.35%"
"15/09/2021","57,800.0","57,100.0","57,800.0","53,800.0","6.00K","1.23%"
"14/09/2021","57,100.0","57,900.0","58,400.0","57,100.0","16.40K","-1.04%"
"13/09/2021","57,700.0","56,800.0","57,700.0","56,300.0","23.10K","-0.35%"
"10/09/2021","57,900.0","57,500.0","59,500.0","56,500.0","5.70K","2.12%"
"09/09/2021","56,700.0","57,600.0","57,600.0","56,700.0","4.30K","-1.22%"
"08/09/2021","57,400.0","56,600.0","57,400.0","56,500.0","0.90K","-0.35%"
"07/09/2021","57,600.0","56,900.0","57,600.0","56,800.0","1.90K","-0.52%"
"06/09/2021","57,900.0","58,000.0","58,000.0","57,000.0","5.10K","-0.17%"
"01/09/2021","58,000.0","59,900.0","59,900.0","57,100.0","9.40K","-1.36%"
"31/08/2021","58,800.0","57,300.0","58,800.0","56,800.0","37.80K","2.62%"
"30/08/2021","57,300.0","55,500.0","57,900.0","55,500.0","22.00K","2.50%"
"27/08/2021","55,900.0","54,500.0","55,900.0","54,000.0","11.80K","2.01%"
"26/08/2021","54,800.0","54,600.0","55,000.0","54,000.0","8.70K","0.37%"
"25/08/2021","54,600.0","54,100.0","55,400.0","54,100.0","6.90K","-1.62%"
"24/08/2021","55,500.0","55,100.0","56,100.0","53,600.0","14.00K","0.73%"
"23/08/2021","55,100.0","55,700.0","55,900.0","55,000.0","2.90K","-1.61%"
"20/08/2021","56,000.0","56,200.0","56,200.0","55,000.0","13.90K","-0.36%"
"19/08/2021","56,200.0","56,300.0","56,400.0","55,900.0","7.70K","-0.18%"
"18/08/2021","56,300.0","56,400.0","56,400.0","56,000.0","2.70K","-0.18%"
"17/08/2021","56,400.0","56,400.0","56,400.0","55,900.0","8.00K","0.18%"
"16/08/2021","56,300.0","56,400.0","56,400.0","56,000.0","7.00K","-0.35%"
"13/08/2021","56,500.0","55,800.0","56,700.0","55,800.0","6.80K","-0.35%"
"12/08/2021","56,700.0","56,800.0","56,800.0","56,500.0","1.60K","-0.18%"
"11/08/2021","56,800.0","55,800.0","56,800.0","55,800.0","9.10K","-0.18%"
"10/08/2021","56,900.0","56,000.0","57,000.0","55,800.0","12.30K","0.00%"
"09/08/2021","56,900.0","56,000.0","56,900.0","55,800.0","12.40K","0.18%"
"06/08/2021","56,800.0","57,200.0","57,200.0","55,700.0","2.30K","0.00%"
"05/08/2021","56,800.0","56,800.0","56,800.0","56,000.0","5.10K","0.00%"
"04/08/2021","56,800.0","57,000.0","57,000.0","56,200.0","4.40K","1.07%"
"03/08/2021","56,200.0","56,300.0","56,900.0","56,200.0","4.60K","-1.23%"
"02/08/2021","56,900.0","56,300.0","58,000.0","56,000.0","4.80K","-1.56%"
"30/07/2021","57,800.0","58,200.0","58,200.0","56,000.0","3.10K","-0.69%"
"29/07/2021","58,200.0","56,300.0","58,200.0","56,300.0","3.70K","1.22%"
"28/07/2021","57,500.0","56,000.0","57,500.0","55,700.0","5.50K","1.23%"
"27/07/2021","56,800.0","57,000.0","57,200.0","56,500.0","17.50K","-0.35%"
"26/07/2021","57,000.0","56,800.0","57,000.0","56,800.0","1.60K","-0.87%"
"23/07/2021","57,500.0","57,600.0","58,000.0","56,000.0","2.40K","-0.69%"
"22/07/2021","57,900.0","56,000.0","58,000.0","55,000.0","6.40K","3.39%"
"21/07/2021","56,000.0","56,200.0","56,200.0","55,000.0","1.80K","-0.36%"
"20/07/2021","56,200.0","54,000.0","56,200.0","53,600.0","6.60K","2.18%"
"19/07/2021","55,000.0","55,500.0","55,500.0","54,600.0","3.00K","-2.48%"
"16/07/2021","56,400.0","54,300.0","56,400.0","54,300.0","5.90K","0.71%"
